timestamp,open,high,low,close,volume
2025-06-27 15:29:00+05:30,1514.9,1515.2,1513.0,1514.0,16375
2025-06-27 15:28:00+05:30,1512.9,1515.8,1512.6,1515.0,42571
2025-06-27 15:27:00+05:30,1511.9,1513.0,1511.4,1512.9,54829
2025-06-27 15:26:00+05:30,1513.5,1513.9,1511.9,1511.9,82074
2025-06-27 15:25:00+05:30,1512.3,1514.0,1512.2,1513.7,81773
2025-06-27 15:24:00+05:30,1511.6,1512.9,1510.5,1512.4,76091
2025-06-27 15:23:00+05:30,1512.3,1512.3,1511.3,1511.6,69793
2025-06-27 15:22:00+05:30,1513.6,1513.6,1512.0,1512.0,93755
2025-06-27 15:21:00+05:30,1513.9,1513.9,1513.5,1513.6,71366
2025-06-27 15:20:00+05:30,1513.5,1514.4,1513.5,1513.7,102251
